Column1;neighborhood;latitude;longitude;name;categories
3091;Botafogo;-22.954192;-43.195444;Le Terroir;Various Restaurants
3092;Botafogo;-22.953409;-43.195111;Romange LÃƒÂ¡ e KÃƒÂ¡;Various Restaurants
3093;Botafogo;-22.957598;-43.195901;Boleia;Various Restaurants
3094;Botafogo;-22.955069;-43.19486;The Coffee.;Various Restaurants
3095;Botafogo;-22.957162;-43.19564;El Chaco Parrilla;Various Restaurants
3096;HumaitÃ¡;-22.957827;-43.199545;Pizzaria Al Capone;Various Restaurants
3097;Botafogo;-22.954611;-43.193823;Sorvete Italia;Various Restaurants
3098;Botafogo;-22.954614;-43.193697;Yogofresh;Various Restaurants
3099;Botafogo;-22.958505;-43.193727;Bar SÃƒÂ£o GerÃƒÂ´nimo;Various Restaurants
3100;Ipanema;-22.984558;-43.202254;Vero Gelato Pizza e CafÃƒÂ©;Various Restaurants
3101;Ipanema;-22.983182;-43.201594;Satyricon;Various Restaurants
3102;Ipanema;-22.983471;-43.201413;Delirium CafÃƒÂ©;Various Restaurants
3103;Ipanema;-22.984305;-43.200931;Starbucks;Various Restaurants
3104;Ipanema;-22.984296;-43.201307;Megamatte Ipanema 2;Various Restaurants
3105;Ipanema;-22.985506;-43.204912;ZazÃƒÂ¡ BistrÃƒÂ´ Tropical;Various Restaurants
3106;Ipanema;-22.98351;-43.2011;New Natural;Various Restaurants
3107;Ipanema;-22.983663;-43.202609;Nema;Various Restaurants
3108;Ipanema;-22.983001;-43.205165;Oia Cozinha Mediterranea;Various Restaurants
3109;Ipanema;-22.984848;-43.196803;Mercearia da PraÃƒÂ§a;Various Restaurants
3110;Ipanema;-22.982369;-43.202515;CafÃƒÂ© e Bar Cantinho de Ipanema;Various Restaurants
3111;Ipanema;-22.985265;-43.203087;Garota de Ipanema;Various Restaurants
3112;Ipanema;-22.985478;-43.207358;QuitÃƒÂ©ria Restaurante;Various Restaurants
3113;Ipanema;-22.985254;-43.200953;Balada Mix;Various Restaurants
3114;Ipanema;-22.98431;-43.207267;EmpÃƒÂ³rio Jardim - Ipanema;Various Restaurants
3115;Ipanema;-22.983551;-43.207249;Nosso;Various Restaurants
3116;Ipanema;-22.985007;-43.196744;Le pule;Various Restaurants
3117;Ipanema;-22.984286;-43.206953;Polis Sucos;Various Restaurants
3118;Ipanema;-22.98493;-43.209101;DelÃƒÂ­rio Tropical;Various Restaurants
3119;Ipanema;-22.986196;-43.198592;B. de Burger;Various Restaurants
3120;Ipanema;-22.985968;-43.1989;Galeria CafÃƒÂ©;Various Restaurants
3121;Ipanema;-22.983343;-43.209314;Via Sete;Various Restaurants
3122;Ipanema;-22.98256;-43.208982;LÃ¢â‚¬â„¢Atelier Mimolette;Various Restaurants
3123;Ipanema;-22.983193;-43.207679;Gula Gula Ipanema;Various Restaurants
3124;Ipanema;-22.981034;-43.206687;Rancho Portugues Rio;Various Restaurants
3125;Ipanema;-22.980038;-43.203401;Bar Lagoa;Various Restaurants
3126;Ipanema;-22.982175;-43.209223;La Carioca;Various Restaurants
3127;Ipanema;-22.984459;-43.198488;Churrascaria CarretÃƒÂ£o-Ipanema;Various Restaurants
3128;Ipanema;-22.983728;-43.211707;La Fruteria;Various Restaurants
3129;Ipanema;-22.987989;-43.193804;Arp;Various Restaurants
3130;Ipanema;-22.982789;-43.209991;Bazzar;Various Restaurants
3131;Ipanema;-22.982416;-43.207096;Maria e o Boi;Various Restaurants
3132;Ipanema;-22.985817;-43.198583;Bar do AdÃƒÂ£o - Ipanema;Various Restaurants
3133;Ipanema;-22.984773;-43.209035;Fresh & Good;Various Restaurants
3134;Ipanema;-22.984258;-43.209399;Momo Gelato;Various Restaurants
3135;Ipanema;-22.983773;-43.211144;Pato com Laranja;Various Restaurants
3136;Ipanema;-22.985005;-43.207284;EmpÃƒÂ³rio;Various Restaurants
3137;Ipanema;-22.983743;-43.21108;Bacio di Latte;Various Restaurants
3138;Lagoa;-22.978994;-43.200804;Padaria Santa Marta;Various Restaurants
3139;Ipanema;-22.986485;-43.200752;Boteco Belmonte;Various Restaurants
3140;GÃ¡vea;-22.974115;-43.227161;Braseiro da GÃƒÂ¡vea;Various Restaurants
3141;GÃ¡vea;-22.973883;-43.227594;Guimas;Various Restaurants
3142;Jardim BotÃ¢nico;-22.965168;-43.226884;JojÃƒÂ´ CafÃƒÂ© BistrÃƒÂ´;Various Restaurants
3143;GÃ¡vea;-22.973862;-43.227155;Brewteco;Various Restaurants
3144;Jardim BotÃ¢nico;-22.970557;-43.222559;Rubaiyat Rio;Various Restaurants
3145;GÃ¡vea;-22.971433;-43.222956;Maguje;Various Restaurants
3146;GÃ¡vea;-22.97472;-43.226987;Porto di Vino;Various Restaurants
3147;GÃ¡vea;-22.974115;-43.227161;Baixo GÃƒÂ¡vea;Various Restaurants
3148;GÃ¡vea;-22.973869;-43.224269;Inverso Gavea;Various Restaurants
3149;GÃ¡vea;-22.97503;-43.227246;Talho CafÃƒÂ©;Various Restaurants
3150;GÃ¡vea;-22.965679;-43.220184;Grado Restaurante;Various Restaurants
3151;Jardim BotÃ¢nico;-22.966146;-43.220509;Ella Pizzaria;Various Restaurants
3152;Jardim BotÃ¢nico;-22.971117;-43.222949;Casa Camolese;Various Restaurants
3153;Jardim BotÃ¢nico;-22.971547;-43.223461;Jack Daniel's Rock Bar;Various Restaurants
3154;GÃ¡vea;-22.975478;-43.228323;Amelie Creperie;Various Restaurants
3155;Jardim BotÃ¢nico;-22.966049;-43.229665;Mercato Del Pane;Various Restaurants
3156;Jardim BotÃ¢nico;-22.974398;-43.22723;Haz;Various Restaurants
3157;Jardim BotÃ¢nico;-22.965577;-43.220495;Restaurant Sud Passaro Verde;Various Restaurants
3158;Jardim BotÃ¢nico;-22.965372;-43.2198;Escama;Various Restaurants
3159;Jardim BotÃ¢nico;-22.965059;-43.219667;Bingo;Various Restaurants
3160;GÃ¡vea;-22.974783;-43.226989;Garota da GÃƒÂ¡vea;Various Restaurants
